postid,posttypeid,parentid,creationdate,score,title,"replace(body, '""', '&quot;')"
19,1,NULL,"2008-08-01 05:21:22",164,"What is the fastest way to get the value of π?","<p>Solutions are welcome in any language. :-) I'm looking for the fastest way to obtain the value of π, as a personal challenge. More specifically I'm using ways that don't involve using <code>#define</code>d constants like <code>M_PI</code>, or hard-coding the number in.</p>&#xA;&#xA;<p>The program below tests the various ways I know of. The inline assembly version is, in theory, the fastest option, though clearly not portable; I've included it as a baseline to compare the other versions against. In my tests, with built-ins, the <code>4 * atan(1)</code> version is fastest on GCC 4.2, because it auto-folds the <code>atan(1)</code> into a constant. With <code>-fno-builtin</code> specified, the <code>atan2(0, -1)</code> version is fastest.</p>&#xA;&#xA;<p>Here's the main testing program (<code>pitimes.c</code>):</p>&#xA;&#xA;<pre><code>#include &lt;math.h&gt;&#xA;#include &lt;stdio.h&gt;&#xA;#include &lt;time.h&gt;&#xA;&#xA;#define ITERS 10000000&#xA;#define TESTWITH(x) {                                                       \&#xA;    diff = 0.0;                                                             \&#xA;    time1 = clock();                                                        \&#xA;    for (i = 0; i &lt; ITERS; ++i)                                             \&#xA;        diff += (x) - M_PI;                                                 \&#xA;    time2 = clock();                                                        \&#xA;    printf(&quot;%s\t=&gt; %e, time =&gt; %f\n&quot;, #x, diff, diffclock(time2, time1));   \&#xA;}&#xA;&#xA;static inline double&#xA;diffclock(clock_t time1, clock_t time0)&#xA;{&#xA;    return (double) (time1 - time0) / CLOCKS_PER_SEC;&#xA;}&#xA;&#xA;int&#xA;main()&#xA;{&#xA;    int i;&#xA;    clock_t time1, time2;&#xA;    double diff;&#xA;&#xA;    /* Warmup. The atan2 case catches GCC's atan folding (which would&#xA;     * optimise the ``4 * atan(1) - M_PI'' to a no-op), if -fno-builtin&#xA;     * is not used. */&#xA;    TESTWITH(4 * atan(1))&#xA;    TESTWITH(4 * atan2(1, 1))&#xA;&#xA;#if defined(__GNUC__) &amp;&amp; (defined(__i386__) || defined(__amd64__))&#xA;    extern double fldpi();&#xA;    TESTWITH(fldpi())&#xA;#endif&#xA;&#xA;    /* Actual tests start here. */&#xA;    TESTWITH(atan2(0, -1))&#xA;    TESTWITH(acos(-1))&#xA;    TESTWITH(2 * asin(1))&#xA;    TESTWITH(4 * atan2(1, 1))&#xA;    TESTWITH(4 * atan(1))&#xA;&#xA;    return 0;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And the inline assembly stuff (<code>fldpi.c</code>), noting that it will only work for x86 and x64 systems:</p>&#xA;&#xA;<pre><code>double&#xA;fldpi()&#xA;{&#xA;    double pi;&#xA;    asm(&quot;fldpi&quot; : &quot;=t&quot; (pi));&#xA;    return pi;&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>And a build script that builds all the configurations I'm testing (<code>build.sh</code>):</p>&#xA;&#xA;<pre><code>#!/bin/sh&#xA;gcc -O3 -Wall -c           -m32 -o fldpi-32.o fldpi.c&#xA;gcc -O3 -Wall -c           -m64 -o fldpi-64.o fldpi.c&#xA;&#xA;gcc -O3 -Wall -ffast-math  -m32 -o pitimes1-32 pitimes.c fldpi-32.o&#xA;gcc -O3 -Wall              -m32 -o pitimes2-32 pitimes.c fldpi-32.o -lm&#xA;gcc -O3 -Wall -fno-builtin -m32 -o pitimes3-32 pitimes.c fldpi-32.o -lm&#xA;gcc -O3 -Wall -ffast-math  -m64 -o pitimes1-64 pitimes.c fldpi-64.o -lm&#xA;gcc -O3 -Wall              -m64 -o pitimes2-64 pitimes.c fldpi-64.o -lm&#xA;gcc -O3 -Wall -fno-builtin -m64 -o pitimes3-64 pitimes.c fldpi-64.o -lm&#xA;</code></pre>&#xA;&#xA;<p>Apart from testing between various compiler flags (I've compared 32-bit against 64-bit too, because the optimisations are different), I've also tried switching the order of the tests around. The <code>atan2(0, -1)</code> version still comes out top every time, though.</p>&#xA;"
709,1,NULL,"2008-08-03 14:53:54",28,".NET Testing Framework Advice","<p>I'm looking to introduce a unit testing framework into the mix at my job.  We're using Visual Studio 2005 (though we may be moving to 2008 within the next 6 months) and work primarily in C#.  If the framework has some kind of IDE integration that would be best, but I'm open to frameworks that don't have integration but are still relatively simple to get set up.  I'm going to get resistance to it one way or another, so if I can make sure what I'm pushing isn't a pain in the neck, that would help my case.</p>&#xA;&#xA;<p>The obvious choice from the research I've done so far points to nUnit, but I'd like to get the impressions of someone who's actually used it before recommending it to my team.</p>&#xA;&#xA;<p>Has anyone out there used nUnit?  If so, are there any pitfalls or limitations of which I should be aware?  Are there other good options out there?  If so, if you've used both nUnit at that, I'd greatly appreciate an idea of the strengths and weaknesses of them.</p>&#xA;"
1053,1,NULL,"2008-08-04 06:21:38",7,"A little diversion into floating point (im)precision, part 1","<p>Most mathematicians agree that:</p>&#xA;&#xA;<blockquote>&#xA;  <p>e<sup>πi</sup> + 1 = 0</p>&#xA;</blockquote>&#xA;&#xA;<p>However, most floating point implementations disagree. How well can we settle this dispute?</p>&#xA;&#xA;<p>I'm keen to hear about different languages and implementations, and various methods to make the result as close to zero as possible. Be creative!</p>&#xA;"
1237,1,NULL,"2008-08-04 13:47:11",25,"Regex: To pull out a sub-string between two tags in a string","<p>I have a file in the following format:</p>&#xA;&#xA;<pre>&#xA;Data Data&#xA;Data&#xA;[Start]&#xA;Data i want&#xA;[End]&#xA;Data&#xA;</pre>&#xA;&#xA;<p>I'd like to grab the <code>Data i want</code> from between the <code>[Start]</code> and <code>[End]</code> tags using a RegEx. Can anyone show me how this might be done?</p>&#xA;"
1669,1,NULL,"2008-08-04 22:46:37",704,"Learning to write a compiler","<p><em>Preferred languages</em>: C/C++, Java, and Ruby.</p>&#xA;&#xA;<p>I am looking for some helpful books/tutorials on how to write your own compiler simply for educational purposes. I am most familiar with C/C++, Java, and Ruby, so I prefer resources that involve one of those three, but any good resource is acceptable.</p>&#xA;"
1711,1,NULL,"2008-08-04 23:50:23",1440,"What is the single most influential book every programmer should read?","<p>If you could go back in time and tell yourself to read a specific book at the beginning of your career as a developer, which book would it be?</p>&#xA;&#xA;<p>I expect this list to be varied and to cover a wide range of things.</p>&#xA;&#xA;<p><strong>To search:</strong> Use the search box in the upper-right corner. To search the answers of the current question, use <code>inquestion:this</code>.  For example:</p>&#xA;&#xA;<pre><code>inquestion:this &quot;Code Complete&quot;&#xA;</code></pre>&#xA;"
1760,1,NULL,"2008-08-05 00:51:49",44,".NET Unit Testing packages?","<p>Getting back into a bit more .NET after a few-years of not using it full-time, and wondering what the good unit testing packages are these days.</p>&#xA;&#xA;<p>I'm familiar with NUnit (a few years ago), and have played briefly around with IronRuby, with the goal of getting something like rspec going, but don't know much beyond that.</p>&#xA;&#xA;<p>I realise I could google for this and call it a day but I believe I'm likely to get a better and more informed response from asking a question here :-)</p>&#xA;&#xA;<p>Suggestions?</p>&#xA;"
3284,1,NULL,"2008-08-06 11:04:34",96,"Why can't I have abstract static methods in C#?","<p>I've been working with <a href=&quot;http://msdn.microsoft.com/en-us/library/aa479030.aspx&quot;>providers</a> a fair bit lately, and I came across an interesting situation where I wanted to have an abstract class that had an abstract static method. I read a few posts on the topic, and it sort of made sense, but is there a nice clear explanation?</p>&#xA;"
4736,1,NULL,"2008-08-07 14:05:24",166,"Learning Regular Expressions","<p>I don't really understand regular expressions.  Can you explain them to me in an easy-to-follow manner?  If there are any online tools or books, could you also link to them?</p>&#xA;"
5323,1,NULL,"2008-08-07 21:14:26",16,"Is there a business reason for striving for pure CSS layout?","<p>It seems like every time I try to create a pure CSS layout it takes me much longer than if I'd use a table or two. Getting three columns to be equal lengths with different amounts of data seems to require particular fancy hacks, especially when dealing with cross-browser issues.</p>&#xA;&#xA;<p>My Question:</p>&#xA;&#xA;<p>Who are these few tables going to hurt? </p>&#xA;&#xA;<p>Tables seem to work particularly well on tabular data &mdash; why are they so reviled in this day and age? Google.com has a table in its source code, so do many other sites (stackoverflow.com does not by the way).</p>&#xA;"
